  Shrink.co.GWallFactSG Qmin       Shrink.co.EMet.factE  Cond.fact. Lengthcon. Ref.cond.  Oxy.deman  Oxygenref Met.factG  Metdecay WallFactTG TauFactG   SigmFactE  SigmFactG  WallFactSE WallFactTE RefSigma   RefTau     RefWallTh  WallFactME WallFactMG RandMet    RandHyd    CrossTS    CrossST    CrossAD    ActInf  Hdinp  Ninv      deltaP     Inflow       Conduct.      OxSupTot      tb        tc       tp       PathB      PathE    PathP   TissueFa  VesselFa   NetwFa    PathwE    VelErr     HctErr     DiaErr     VelR      DOxSatM   DOxPressM  DOxSat   DOxPress       EnCons    VolTot     OxDefic     OxEffic   RMSOxyHet   PCapRel     JVrel       AdAvgDia     AdAvgWall   ElongParaAvg  GrowthParaAvg  TauVarRMS   SigmaErr  WallLumen     TauErr    SigAVDiff    SigRsq    SigB     TauAVDiff    TauB      RMSTauP    RMSSigP   RMSAreaP    RMSD3P       Kte DelSeg AdRun DerrR AdRanR OptPar     SigMean  TauMean  AvgDia   AWallTh  AWallArCapFlRMS  CapFluxRMS CapPO2RMS ConsAdSens OxExtr. PathLqRMS  OxDemand  FlowDemR2 FlowDemB
   0.019882   0.674328   0.010000   3.058196   0.813091   1.588077   14292.00    6618.00  0.0000400  94.434  -0.327331   10000.00   0.114198   0.000000   0.000000   1.000000   0.674328   0.114198      34168   0.559846   0.803949   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.030000  1.0000  0.444  11       61.3870    409.4847    6.67055021    80.19933     3.511     3.016     3.906    7362.4    7741.1    7061.7  0.859115  0.798513  1.024255  1.050415  0.6167751  0.6010846  0.4410538  0.5905828   0.08059    25.603   0.03798    11.608     34.3831    45.61469   0.0162954   0.1346133   0.2210107   0.1411570  -0.06520   0.053083954   0.013136117   0.020680607   0.029507414     1.2530     0.22878   0.702430     0.77274   0.037001    0.70990    0.57034    0.40078    0.31204   0.291477   0.103002   0.167740   0.171089   1.000000   0   600     0   1   0.00000000    168689   50.006  14.6882  3.53188  3.53188   0.93615   0.95594   0.28338   1.00000   0.04114   0.40643   6.35068   0.00000   0.00000
 
  Name  oldDia   newDia   Pr_mean  Tau_real  Tau_fit    Vel       Flow    Visc      HD     P_O2      S_O2     S_tot   MetStim   Hydrod   CondSti MetLoc   MetConv   Typ   WallTh   Sigma    SO2in    SO2out     deltaP   ConsAdFact
    35    6.250   10.532   27.651   52.334   -1.273   0.8818      4.6024  7.807   0.5821  85.4635   0.9192   0.0042   1.0291   0.0000   0.2467   0.9820     44.7     1    1.574    141627   0.9320   0.9064    12.81663   1.0000000
    36    6.060    7.301   36.972  160.669   -1.528   2.6713      6.7249  5.495   0.3645  90.3264   0.9307  -0.0018   0.3215   0.0000   0.3582   0.2697      7.4     1    2.380    100412   0.9347   0.9267    16.18733   1.0000000
    37    6.300    7.895   25.239   62.440   -1.220   1.2332      3.6221  4.997   0.3795  84.9259   0.9178   0.0011   0.8535   0.0000   0.2870   0.6985     22.3     1    1.369    113848   0.9267   0.9089     7.27888   1.0000000
    38   13.660   13.717   55.121  107.627   -1.853   4.2676     38.1865  4.344   0.4820  93.3735   0.9369  -0.0075   0.0296   0.0000   0.7127   0.0121      2.7     1    4.407    151975   0.9371   0.9366     2.87577   1.0000000
    39   16.110   13.753   49.107   98.091   -1.777   3.5773     32.1492  4.733   0.5110  92.6959   0.9355  -0.0073   0.0833   0.0000   0.7009   0.0612      6.8     1    4.015    145615   0.9366   0.9345     9.15233   1.0000000
    40   16.110   14.583   41.147   76.789   -1.630   2.8757     28.9783  4.881   0.5377  91.6213   0.9334  -0.0052   0.1917   0.0000   0.6964   0.1091     16.1     1    3.287    149683   0.9345   0.9323     6.76625   1.0000000
    41   14.810   15.844   34.902   54.786   -1.472   2.2155     26.2523  4.901   0.5625  90.3786   0.9308  -0.0030   0.3477   0.0000   0.6909   0.1870     32.2     1    2.621    164102   0.9323   0.9293     5.72392   1.0000000
    42   12.880   16.358   29.997   40.370   -1.334   1.6462     20.7776  5.016   0.5790  88.8692   0.9275  -0.0005   0.5391   0.0000   0.6543   0.2602     51.1     1    2.077    177607   0.9293   0.9257     4.08668   1.0000000
    43   12.800   16.753   27.729   34.032   -1.275   1.3515     17.8837  5.274   0.6012  87.9590   0.9254   0.0015   0.6418   0.0000   0.6394   0.0514     60.5     1    1.870    184180   0.9257   0.9251     0.44853   1.0000000
    44    9.660   13.291   26.980   47.383   -1.257   1.1647      9.6956  6.759   0.6075  87.5650   0.9244   0.0023   0.6894   0.0000   0.4988   0.1191     37.8     1    1.753    154421   0.9251   0.9238     1.05052   1.0000000
    45    8.550   10.366   25.903   77.596   -1.233   1.0303      5.2113  9.754   0.6348  87.0457   0.9232   0.0035   0.7500   0.0000   0.3001   0.1106     24.1     1    1.713    121712   0.9238   0.9226     1.10351   1.0000000
    46   10.090    9.363   23.024   78.800   -1.183   0.7389      3.0417 12.460   0.6706  85.3856   0.9190   0.0052   0.9481   0.0000   0.1629   0.5090     24.0     1    1.526    109230   0.9226   0.9154     4.65510   1.0000000
    47    5.920   11.968   23.923   29.885   -1.196   0.6662      4.4848  6.701   0.5758  83.3127   0.9133   0.0052   1.1490   0.0000   0.3413   0.9262     58.9     1    1.280    164767   0.9238   0.9029     5.06326   1.0000000
    48   12.560   12.705   25.513   45.785   -1.225   1.0785      8.1914  6.737   0.5937  86.5976   0.9221   0.0036   0.8051   0.0000   0.4336   0.4138     44.2     1    1.639    148674   0.9251   0.9191     3.98363   1.0000000
    49   13.470   12.715   22.538   33.919   -1.177   0.7480      5.6866  7.200   0.6126  84.3571   0.9162   0.0045   1.0229   0.0000   0.3832   0.3971     54.4     1    1.374    153780   0.9191   0.9134     1.96649   1.0000000
    50    7.440    7.738   30.931  155.486   -1.360   1.9391      5.4745  7.758   0.5002  89.4481   0.9288   0.0008   0.4553   0.0000   0.2778   0.0795     10.2     1    2.148     94940   0.9293   0.9283     2.21830   1.0000000
    51    5.640    8.066   25.600   73.996   -1.227   0.9995      3.0634  7.463   0.5005  85.8720   0.9203   0.0014   0.8780   0.0000   0.2190   0.7173     20.1     1    1.422    113885   0.9283   0.9123     8.44419   1.0000000
    52   18.240   18.963   64.406   73.429   -1.926   5.0979     87.4541  3.435   0.4875  94.1377   0.9383  -0.0161   0.0027   0.0000   0.8550   0.0022      0.5     1    5.370    196110   0.9385   0.9381     2.83396   1.0000000
    53   17.660   19.111   60.226   72.051   -1.898   4.8306     83.9461  3.580   0.5031  93.7683   0.9376  -0.0106   0.0133   0.0000   0.8534   0.0106      2.6     1    4.986    195302   0.9381   0.9371     5.52577   1.0000000
    54   13.160   14.781   52.734   95.285   -1.826   3.9610     41.0875  4.461   0.5069  93.0304   0.9362  -0.0072   0.0571   0.0000   0.7301   0.0442      5.8     1    4.215    159214   0.9371   0.9353     9.45858   1.0000000
    55   10.380   15.337   46.045   81.845   -1.728   3.3897     37.7850  4.642   0.5304  92.3004   0.9348  -0.0057   0.1148   0.0000   0.7284   0.0448     11.4     1    3.478    166764   0.9353   0.9343     3.91863   1.0000000
    56   15.090   15.799   41.226   70.260   -1.631   2.8544     33.7048  4.870   0.5544  91.6020   0.9334  -0.0032   0.1951   0.0000   0.7218   0.0983     19.1     1    3.196    163825   0.9343   0.9324     5.71916   1.0000000
    57   11.090   15.843   37.611   65.104   -1.544   2.4689     29.2723  5.229   0.5774  91.0174   0.9322  -0.0012   0.2633   0.0000   0.6947   0.0439     24.4     1    2.781    168257   0.9324   0.9319     1.51122   1.0000000
    58   12.430   14.442   33.798   68.544   -1.441   2.0702     20.3566  5.979   0.5911  90.2090   0.9305   0.0009   0.3768   0.0000   0.6007   0.1918     28.1     1    2.490    153294   0.9319   0.9290     6.11406   1.0000000
    59   14.740   15.027   28.836   51.849   -1.303   1.5667     16.6717  6.216   0.6137  88.9133   0.9276   0.0031   0.5437   0.0000   0.5745   0.2232     41.7     1    2.098    156896   0.9290   0.9261     3.81124   1.0000000
    60    7.670   15.763   25.959   41.525   -1.234   1.2647     14.7759  6.463   0.6377  87.8443   0.9251   0.0055   0.6740   0.0000   0.5540   0.1815     55.0     1    1.759    172164   0.9261   0.9241     1.94201   1.0000000
    61    8.640   15.685   24.532   38.791   -1.207   1.0738     12.4150  7.073   0.6607  87.1623   0.9235   0.0064   0.7543   0.0000   0.5221   0.1134     58.1     1    1.655    171077   0.9241   0.9229     0.91183   1.0000000
    62    9.850   15.426   23.621   38.092   -1.192   0.9312     10.4078  7.874   0.6836  86.6401   0.9222   0.0076   0.8159   0.0000   0.4881   0.1315     57.8     1    1.603    166878   0.9229   0.9215     0.91072   1.0000000
    63    9.960   12.140   22.110   46.310   -1.172   0.7111      4.9142  9.858   0.6739  85.4971   0.9193   0.0094   0.9441   0.0000   0.3365   0.3492     38.4     1    1.410    141111   0.9215   0.9171     2.11151   1.0000000
    64    6.390   11.672   20.628   44.920   -1.159   0.5560      3.5495 11.755   0.7037  84.2262   0.9159   0.0105   1.0671   0.0000   0.2622   0.2023     38.0     1    1.263    140211   0.9171   0.9147     0.85233   1.0000000
    65   11.380   11.138   19.499   52.962   -1.153   0.4881      2.8349 15.060   0.7428  83.1429   0.9128   0.0110   1.1715   0.0000   0.1443   0.3040     39.4     1    1.291    124530   0.9147   0.9110     1.40570   1.0000000
    66    6.200   11.891   22.882   60.939   -1.181   0.8278      5.4935 10.921   0.6922  86.2122   0.9211   0.0084   0.8643   0.0000   0.3015   0.0761     34.8     1    1.518    134364   0.9215   0.9207     0.56706   1.0000000
    67    8.000   11.084   21.676   69.252   -1.168   0.6857      3.9501 13.959   0.7268  85.5291   0.9194   0.0091   0.9431   0.0000   0.2091   0.2466     30.8     1    1.485    121878   0.9207   0.9180     1.84561   1.0000000
    68   13.340    9.693   34.941  126.061   -1.473   2.0104      8.9181  7.605   0.5460  90.4996   0.9311   0.0008   0.3300   0.0000   0.4410   0.1106     10.2     1    2.648    108676   0.9319   0.9303     3.82865   1.0000000
    69   11.720   10.151   29.279   82.666   -1.315   1.2586      6.1104  8.333   0.5841  88.5823   0.9268   0.0039   0.5932   0.0000   0.3901   0.4119     17.9     1    1.986    119235   0.9303   0.9234     7.49552   1.0000000
    70    7.820   10.483   25.191   64.480   -1.219   0.9056      4.6711  9.312   0.6210  86.9237   0.9229   0.0075   0.7621   0.0000   0.3499   0.0935     22.4     1    1.583    127616   0.9234   0.9224     0.68057   1.0000000
    71   10.440   11.187   22.631   44.849   -1.178   0.6227      3.6545 10.047   0.6566  84.3598   0.9163   0.0092   1.0588   0.0000   0.2740   0.7178     38.3     1    1.398    135309   0.9224   0.9101     4.43911   1.0000000
    72    8.850   11.949   19.917   35.541   -1.155   0.4941      3.3078 10.717   0.6887  81.5710   0.9082   0.0098   1.2803   0.0000   0.2022   0.2854     59.9     1    1.220    142736   0.9101   0.9062     0.98784   1.0000000
    73    8.980    7.193   22.907   37.940   -1.182   0.4179      1.0172  8.155   0.4933  79.8862   0.9028   0.0091   1.3884   0.0000   0.0999   1.2207     24.1     2    1.023    122438   0.9224   0.8833     3.88753   1.0000000
    74    3.830    5.429   33.966  206.970   -1.446   2.3778      3.3018  5.906   0.2372  86.8598   0.9227   0.0033   0.6233   0.0000   0.0716   0.6002     10.6     2    1.911     86987   0.9353   0.9102    28.07657   1.0000000
    75   16.360   15.900   50.262   73.439   -1.794   3.5718     42.8610  4.101   0.4994  92.5133   0.9352  -0.0062   0.1137   0.0000   0.7713   0.1029     12.8     1    3.928    169950   0.9371   0.9332    14.40227   1.0000000
    76   15.390   16.622   41.749   59.330   -1.643   2.9254     38.2468  4.223   0.5219  91.3040   0.9328  -0.0030   0.2182   0.0000   0.7598   0.0611     25.0     1    3.158    174873   0.9332   0.9323     2.62296   1.0000000
    77   12.610   10.138   39.312  124.230   -1.587   2.5485     12.3810  6.187   0.4994  90.8798   0.9319   0.0003   0.2676   0.0000   0.4947   0.0527     10.6     1    3.010    114693   0.9323   0.9315     2.25060   1.0000000
    78   11.130   11.184   32.724   73.731   -1.411   1.6265      9.5805  6.335   0.5335  88.7263   0.9272   0.0051   0.5664   0.0000   0.4518   0.4454     25.7     1    2.187    133307   0.9315   0.9228    10.92583   1.0000000
    79   11.550    9.967   23.911   36.174   -1.196   0.7682      3.5759  5.850   0.4766  81.6575   0.9084   0.0096   1.2302   0.0000   0.2308   1.0331     57.3     1    1.276    139767   0.9228   0.8940     6.70049   1.0000000
    80    7.590   10.674   25.620   63.302   -1.227   1.1244      6.0044  7.491   0.5674  86.0416   0.9207   0.0093   0.8313   0.0000   0.3147   0.3165     34.8     1    1.603    130312   0.9228   0.9185     3.28331   1.0000000
    81    7.240    6.548   29.956  116.664   -1.333   1.3974      2.8014  6.807   0.3826  85.7889   0.9200   0.0088   0.8411   0.0000   0.1159   0.7686     16.7     1    1.733     94930   0.9315   0.9086    16.46167   1.0000000
    82   14.560   14.904   38.873   63.399   -1.576   2.4650     25.8660  4.798   0.5328  90.7294   0.9316  -0.0003   0.2889   0.0000   0.6896   0.0950     24.5     1    2.860    161245   0.9323   0.9308     3.12862   1.0000000
    83   16.760   15.228   36.304   55.436   -1.510   2.0767     22.7082  5.083   0.5572  90.1256   0.9303   0.0003   0.3647   0.0000   0.6799   0.0898     29.9     1    2.660    162821   0.9308   0.9297     2.00934   1.0000000
